claim_id	result
sample-booking-updates-seats	PASS
full-class-blocks-booking	PASS
cutoff-blocks-booking	PASS
demo-reset-isolated	PASS
school-capacity-flow	PASS
calendar-poll	PASS
concurrent-booking-does-not-oversell	PASS
released-seat-delivery	PASS
school-plan-price	PASS
no-third-party-tracking	PASS
contact-encryption-retention	PASS
entra-sign-in	PASS
staff-role-access	PASS
data-export-delete	PASS
demo-expiry-input-disposal	PASS
reconciliation-does-not-change-seats	PASS
durable-restart	PASS
configured-smtp-delivery	PASS
workspace-recovery	PASS
oldest-waitlist-offer	PASS
zero-config-runtime	PASS
forwarded-ip-rate-limits	PASS
durable-one-replica-topology	PASS
operational-metrics-no-pii	PASS
