id	result	command
sample-booking-updates-seats	PASS	npm run test:e2e -- --grep @claim:sample-booking-updates-seats
full-class-blocks-booking	PASS	npm run test:e2e -- --grep @claim:full-class-blocks-booking
cutoff-blocks-booking	PASS	npm run test:e2e -- --grep @claim:cutoff-blocks-booking
demo-reset-isolated	PASS	npm run test:e2e -- --grep @claim:demo-reset-isolated
school-capacity-flow	PASS	npm run test:e2e -- --grep @claim:school-capacity-flow
calendar-poll	PASS	npm run test:api -- claim_calendar_feed_is_encrypted_and_polled_every_five_minutes
concurrent-booking-does-not-oversell	PASS	npm run test:api -- concurrent_booking_requests_do_not_oversell_a_class
released-seat-delivery	PASS	npm run test:e2e -- --grep @claim:released-seat-delivery
school-plan-price	PASS	npm run test:e2e -- --grep @claim:school-plan-price
no-third-party-tracking	PASS	npm run test:e2e -- --grep @claim:no-third-party-tracking
contact-encryption-retention	PASS	npm run test:api -- claim_contact_encryption_and_retention
entra-sign-in	PASS	npm run test:e2e -- --grep @claim:entra-sign-in
staff-role-access	PASS	npm run test:api -- claim_staff_roles_enforce_owner_actions
data-export-delete	PASS	npm run test:e2e -- --grep @claim:data-export-delete
demo-expiry-input-disposal	PASS	npm run test:api -- claim_demo_expiry_and_input_disposal
reconciliation-does-not-change-seats	PASS	npm run test:api -- claim_reconciliation_never_mutates_confirmed_seats
durable-restart	PASS	npm run test:durable-restart
configured-smtp-delivery	PASS	npm run test:api -- claim_configured_smtp_queues_an_encrypted_offer
workspace-recovery	PASS	npm run test:api -- claim_workspace_recovery_by_staff_identity
oldest-waitlist-offer	PASS	npm run test:api -- claim_oldest_waitlist_entry_gets_a_24_hour_offer
zero-config-runtime	PASS	bash scripts/test-zero-config.sh
forwarded-ip-rate-limits	PASS	npm run test:api -- rate_limit_uses_forwarded_ip_and_returns_retry_after
durable-one-replica-topology	PASS	npm run test:deployment
operational-metrics-no-pii	PASS	npm run test:api -- regression_protected_operational_metrics_are_aggregated_and_contain_no_pii
